This is just a note for myself and potentially others stumbled across a glitch related to
writing OAM and wanted to debug it. It just contains a conversion table between slot numbers,
indexes, and the RAM to write.

Slot:       Index (increments of 4): $0200:      $0420
+------------------------------------------------------
111 ($6F)   444 ($01BC)              $03BC-$03BF $048F
112 ($70)   448 ($01C0)              $03C0-$03C3 $0490
113 ($71)   452 ($01C4)              $03C4-$03C7 $0491
114 ($72)   456 ($01C8)              $03C8-$03CB $0492
115 ($73)   460 ($01CC)              $03CC-$03CF $0493
116 ($74)   464 ($01D0)              $03D0-$03D3 $0494
117 ($75)   468 ($01D4)              $03D4-$03D7 $0495
118 ($76)   472 ($01D8)              $03D8-$03DB $0496
119 ($77)   476 ($01DC)              $03DC-$03DF $0497
120 ($78)   480 ($01E0)              $03E0-$03E3 $0498
121 ($79)   484 ($01E4)              $03E4-$03E7 $0499
122 ($7A)   488 ($01E8)              $03E8-$03EB $049A
123 ($7B)   492 ($01EC)              $03EC-$03EF $049B
124 ($7C)   496 ($01F0)              $03F0-$03F3 $049C
125 ($7D)   500 ($01F4)              $03F4-$03F7 $049D
126 ($7E)   504 ($01F8)              $03F8-$03FB $049E
127 ($7F)   508 ($01FC)              $03FC-$03FF $049F
